status,url,final_url,section,template,title,primary_heading,canonical,redirected,internal_link_count,image_count,embed_count,migration_disposition,error
"200","https://jungfrau-taechi.ch/newsfeed/ce18g","https://jungfrau-taechi.ch/newsfeed/ce18g","news","news","CE18g","CE18g","","false","unavailable","16","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/gkrafttraining","https://jungfrau-taechi.ch/newsfeed/gkrafttraining","news","news","GKrafttraining","GKrafttraining","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/einladunghv2019","https://jungfrau-taechi.ch/newsfeed/einladunghv2019","news","news","EinladungHV2019","EinladungHV2019","","false","unavailable","10","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/schlitten19","https://jungfrau-taechi.ch/newsfeed/schlitten19","news","news","Schlitten19","Schlitten19","","false","unavailable","10","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/holzerbar19","https://jungfrau-taechi.ch/newsfeed/holzerbar19","news","news","Holzerbar19","Holzerbar19","","false","unavailable","10","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/hbc19h","https://jungfrau-taechi.ch/newsfeed/hbc19h","news","news","HBC19h","HBC19h","","false","unavailable","32","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/gf8","https://jungfrau-taechi.ch/newsfeed/gf8","news","news","GF8","GF8","","false","unavailable","37","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/sc19a","https://jungfrau-taechi.ch/newsfeed/sc19a","news","news","SC19a","SC19a","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/19-02a","https://jungfrau-taechi.ch/newsfeed/19-02a","news","news","X-Alps News Nr.1 (16. Juni 2019)","X-Alps News Nr.1 (16. Juni 2019)","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/maskenteddy4","https://jungfrau-taechi.ch/newsfeed/maskenteddy4","news","news","Delta-Club Jungfrau-Tächi Grindelwald","Delta-Club Jungfrau-Tächi Grindelwald","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/19-02","https://jungfrau-taechi.ch/newsfeed/19-02","news","news","X-Alps News Nr. 2 (18. Juni 2019)","X-Alps News Nr. 2 (18. Juni 2019)","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/19-03","https://jungfrau-taechi.ch/newsfeed/19-03","news","news","X-Alps News Nr.3 (18. Juni 2019) Das Wesentliche","X-Alps News Nr.3 (18. Juni 2019) Das Wesentliche","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/hb2020","https://jungfrau-taechi.ch/newsfeed/hb2020","news","news","HB2020","HB2020","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/19-09","https://jungfrau-taechi.ch/newsfeed/19-09","news","news","X-Alps News Nr.9 (24. Juni 2019: Randnotiz","X-Alps News Nr.9 (24. Juni 2019: Randnotiz","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/19-10","https://jungfrau-taechi.ch/newsfeed/19-10","news","news","X-Alps News Nr. 10 (25. Juni 2019: Gratulation!","X-Alps News Nr. 10 (25. Juni 2019: Gratulation!","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/19-11","https://jungfrau-taechi.ch/newsfeed/19-11","news","news","X-Alps News Nr.11 (26. Juni 2019; Ogi und andere Frutigtaler)","X-Alps News Nr.11 (26. Juni 2019; Ogi und andere Frutigtaler)","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/19-12","https://jungfrau-taechi.ch/newsfeed/19-12","news","news","X-Alps News Nr,12 (27 Juni 2019: Lieber Chrigel)","X-Alps News Nr,12 (27 Juni 2019: Lieber Chrigel)","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/19-13","https://jungfrau-taechi.ch/newsfeed/19-13","news","news","X-Alps Nr. 13 (28. Juni 2019: Wärgistal)","X-Alps Nr. 13 (28. Juni 2019: Wärgistal)","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/21-10","https://jungfrau-taechi.ch/newsfeed/21-10","news","news","Delta-Club Jungfrau-Tächi Grindelwald","Delta-Club Jungfrau-Tächi Grindelwald","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/eigertour2019barflyer","https://jungfrau-taechi.ch/newsfeed/eigertour2019barflyer","news","news","Eigertour2019Barflyer","Eigertour2019Barflyer","","false","unavailable","10","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/et191","https://jungfrau-taechi.ch/newsfeed/et191","news","news","ET191","ET191","","false","unavailable","43","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/hoehenflug","https://jungfrau-taechi.ch/newsfeed/hoehenflug","news","news","Hoehenflug","Hoehenflug","","false","unavailable","32","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/herbstjagd19","https://jungfrau-taechi.ch/newsfeed/herbstjagd19","news","news","Herbstjagd19","Herbstjagd19","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/acf19breitbild","https://jungfrau-taechi.ch/newsfeed/acf19breitbild","news","news","ACF19Breitbild","ACF19Breitbild","","false","unavailable","101","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/image003","https://jungfrau-taechi.ch/newsfeed/image003","news","news","Fliegerschiessen Axalp – 7.-10.10.2019","Fliegerschiessen Axalp – 7.-10.10.2019","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/21-07","https://jungfrau-taechi.ch/newsfeed/21-07","news","news","Delta-Club Jungfrau-Tächi Grindelwald","Delta-Club Jungfrau-Tächi Grindelwald","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/aca1910","https://jungfrau-taechi.ch/newsfeed/aca1910","news","news","ACA1910","ACA1910","","false","unavailable","27","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/regikaufmann","https://jungfrau-taechi.ch/newsfeed/regikaufmann","news","news","RegiKaufmann","RegiKaufmann","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/aace1922","https://jungfrau-taechi.ch/newsfeed/aace1922","news","news","AACE1922","AACE1922","","false","unavailable","18","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/sportdamen","https://jungfrau-taechi.ch/newsfeed/sportdamen","news","news","SportDamen","SportDamen","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/guide","https://jungfrau-taechi.ch/newsfeed/guide","news","news","Guide","Guide","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/einladunghv20","https://jungfrau-taechi.ch/newsfeed/einladunghv20","news","news","Einladunghv20","Einladunghv20","","false","unavailable","10","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/hv20titelbild","https://jungfrau-taechi.ch/newsfeed/hv20titelbild","news","news","HV20Titelbild","HV20Titelbild","","false","unavailable","52","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/weidenkatzen","https://jungfrau-taechi.ch/newsfeed/weidenkatzen","news","news","Weidenkatzen","Weidenkatzen","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/club2020fliegen0","https://jungfrau-taechi.ch/newsfeed/club2020fliegen0","news","news","Delta-Club Jungfrau-Tächi Grindelwald","Delta-Club Jungfrau-Tächi Grindelwald","","false","unavailable","26","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/maskenteddy","https://jungfrau-taechi.ch/newsfeed/maskenteddy","news","news","Delta-Club Jungfrau-Tächi Grindelwald","Delta-Club Jungfrau-Tächi Grindelwald","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/supportdcjt","https://jungfrau-taechi.ch/newsfeed/supportdcjt","news","news","Delta-Club Jungfrau-Tächi Grindelwald","Delta-Club Jungfrau-Tächi Grindelwald","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/maskenteddy1","https://jungfrau-taechi.ch/newsfeed/maskenteddy1","news","news","Delta-Club Jungfrau-Tächi Grindelwald","Delta-Club Jungfrau-Tächi Grindelwald","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/swisscupgrindelwald","https://jungfrau-taechi.ch/newsfeed/swisscupgrindelwald","news","news","Delta-Club Jungfrau-Tächi Grindelwald","Delta-Club Jungfrau-Tächi Grindelwald","","false","unavailable","10","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/germanopen1","https://jungfrau-taechi.ch/newsfeed/germanopen1","news","news","Delta-Club Jungfrau-Tächi Grindelwald","Delta-Club Jungfrau-Tächi Grindelwald","","false","unavailable","18","0","representative migration or grouped route",""
